Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
178,Jaime Mata,es ESP,"FW,MF",Las Palmas,35,"€ 30,000 (£ 25,322, $30,925)","€ 1,560,000 (£ 1,316,759, $1,608,095)",Unverified estimation
179,Sergi Cardona,es ESP,DF,Villarreal,25,"€ 30,000 (£ 25,322, $30,925)","€ 1,560,000 (£ 1,316,759, $1,608,095)",Unverified estimation
180,Tajon Buchanan,ca CAN,MF,Villarreal,25,"€ 30,000 (£ 25,296, $33,579)","€ 1,560,000 (£ 1,315,379, $1,746,118)",
181,Andoni Gorosabel,es ESP,DF,Athletic Club,27,"€ 30,000 (£ 25,322, $30,925)","€ 1,560,000 (£ 1,316,759, $1,608,095)",Unverified estimation
182,Stoichkov,es ESP,"MF,FW",Alavés,30,"€ 30,000 (£ 25,322, $30,925)","€ 1,560,000 (£ 1,316,759, $1,608,095)",Unverified estimation
183,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,"€ 30,000 (£ 25,322, $30,925)","€ 1,560,000 (£ 1,316,759, $1,608,095)",Unverified estimation
184,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,"€ 30,000 (£ 25,322, $30,925)","€ 1,560,000 (£ 1,316,759, $1,608,095)",Unverified estimation
185,David Soria,es ESP,GK,Getafe,31,"€ 29,038 (£ 24,511, $29,934)","€ 1,510,000 (£ 1,274,555, $1,556,553)",Unverified estimation
186,Daley Sinkgraven,nl NED,DF,Las Palmas,29,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
187,Stefan Bajcetic,,DM,Las Palmas,20,"€ 28,846 (£ 24,323, $32,288)","€ 1,500,000 (£ 1,264,788, $1,678,960)",Unverified estimation
188,Anuar,ma MAR,"MF,FW",Valladolid,29,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
189,Marcos André,br BRA,FW,Valladolid,27,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
190,Toni Lato,es ESP,DF,Mallorca,26,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
191,Alejo Veliz,,CF,Espanyol,20,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
192,Giorgi Mamardashvili,ge GEO,GK,Valencia,23,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
193,Sergi Canós,es ESP,"MF,FW",Valencia,27,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
194,Sandro Ramírez,es ESP,"FW,MF",Las Palmas,29,"€ 28,654 (£ 24,186, $29,537)","€ 1,490,000 (£ 1,257,674, $1,535,937)",Unverified estimation
195,Luiz Júnior,,GK,Villarreal,23,"€ 28,077 (£ 23,699, $28,943)","€ 1,460,000 (£ 1,232,351, $1,505,012)",Unverified estimation
196,Munir El Haddadi,ma MAR,"FW,MF",Leganés,28,"€ 28,077 (£ 23,699, $28,943)","€ 1,460,000 (£ 1,232,351, $1,505,012)",Unverified estimation
