Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
64,Julian Weigl,de GER,MF,Gladbach,28,"€ 76,154 (£ 64,280, $78,502)","€ 3,960,000 (£ 3,342,542, $4,082,087)",Unverified estimation
65,Waldemar Anton,de GER,DF,Dortmund,28,"€ 76,154 (£ 64,280, $78,502)","€ 3,960,000 (£ 3,342,542, $4,082,087)",Unverified estimation
66,Diadie Samassékou,ml MLI,MF,Hoffenheim,28,"€ 75,000 (£ 63,306, $77,312)","€ 3,900,000 (£ 3,291,898, $4,020,237)",Unverified estimation
67,Amadou Haidara,ml MLI,MF,RB Leipzig,26,"€ 73,077 (£ 61,683, $75,330)","€ 3,800,000 (£ 3,207,490, $3,917,154)",Unverified estimation
68,Hiroki Ito,jp JPN,DF,Bayern Munich,25,"€ 72,692 (£ 61,358, $74,933)","€ 3,780,000 (£ 3,190,608, $3,896,538)",Unverified estimation
69,Aster Vranckx,be BEL,MF,Wolfsburg,21,"€ 72,692 (£ 61,358, $74,933)","€ 3,780,000 (£ 3,190,608, $3,896,538)",Unverified estimation
70,Salih Özcan,tr TUR,MF,Wolfsburg,26,"€ 72,692 (£ 61,358, $74,933)","€ 3,780,000 (£ 3,190,608, $3,896,538)",Unverified estimation
71,Deniz Undav,de GER,"FW,MF",Stuttgart,28,"€ 72,692 (£ 61,358, $74,933)","€ 3,780,000 (£ 3,190,608, $3,896,538)",Unverified estimation
72,Maximilian Beier,de GER,"FW,MF",Dortmund,21,"€ 72,692 (£ 61,358, $74,933)","€ 3,780,000 (£ 3,190,608, $3,896,538)",Unverified estimation
73,Piero Hincapié,ec ECU,DF,Leverkusen,22,"€ 72,692 (£ 61,358, $74,933)","€ 3,780,000 (£ 3,190,608, $3,896,538)",Unverified estimation
74,Arthur Theate,be BEL,DF,Eint Frankfurt,24,"€ 70,000 (£ 59,085, $72,158)","€ 3,640,000 (£ 3,072,438, $3,752,222)",Unverified estimation
75,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,30,"€ 69,231 (£ 58,436, $71,365)","€ 3,600,000 (£ 3,038,675, $3,710,988)",Unverified estimation
76,Mergim Berisha,de GER,"FW,MF",Hoffenheim,26,"€ 67,308 (£ 56,813, $69,383)","€ 3,500,000 (£ 2,954,267, $3,607,905)",Unverified estimation
77,Oliver Baumann,de GER,GK,Hoffenheim,34,"€ 67,308 (£ 56,813, $69,383)","€ 3,500,000 (£ 2,954,267, $3,607,905)",Unverified estimation
78,Nico Elvedi,ch SUI,DF,Gladbach,27,"€ 67,308 (£ 56,813, $69,383)","€ 3,500,000 (£ 2,954,267, $3,607,905)",Unverified estimation
79,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,22,"€ 67,308 (£ 56,813, $69,383)","€ 3,500,000 (£ 2,954,267, $3,607,905)",Unverified estimation
80,Kevin Trapp,de GER,GK,Eint Frankfurt,34,"€ 67,308 (£ 56,813, $69,383)","€ 3,500,000 (£ 2,954,267, $3,607,905)",
81,Mario Götze,de GER,"MF,FW",Eint Frankfurt,32,"€ 67,308 (£ 56,813, $69,383)","€ 3,500,000 (£ 2,954,267, $3,607,905)",
82,Andreas Skov Olsen,dk DEN,"FW,MF",Wolfsburg,24,"€ 65,385 (£ 55,132, $73,185)","€ 3,400,000 (£ 2,866,852, $3,805,643)",Unverified estimation
83,Amine Adli,ma MAR,"MF,FW",Leverkusen,24,"€ 65,385 (£ 55,190, $67,400)","€ 3,400,000 (£ 2,869,859, $3,504,822)",Unverified estimation
84,Martin Terrier,fr FRA,"MF,FW",Leverkusen,27,"€ 65,385 (£ 55,190, $67,400)","€ 3,400,000 (£ 2,869,859, $3,504,822)",Unverified estimation
85,Elye Wahi,fr FRA,"FW,MF",Eint Frankfurt,21,"€ 65,385 (£ 55,132, $73,185)","€ 3,400,000 (£ 2,866,852, $3,805,643)",Unverified estimation
86,Mario Hermoso,es ESP,DF,Leverkusen,29,"€ 63,462 (£ 53,510, $71,033)","€ 3,300,000 (£ 2,782,533, $3,693,712)",
87,Robert Andrich,de GER,"MF,DF",Leverkusen,29,"€ 61,538 (£ 51,943, $63,436)","€ 3,200,000 (£ 2,701,044, $3,298,656)",Unverified estimation
88,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,28,"€ 61,538 (£ 51,943, $63,436)","€ 3,200,000 (£ 2,701,044, $3,298,656)",Unverified estimation
89,Ozan Kabak,tr TUR,CB,Hoffenheim,24,"€ 60,577 (£ 51,132, $62,445)","€ 3,150,000 (£ 2,658,840, $3,247,115)",Unverified estimation
90,Carney Chukwuemeka,eng ENG,MF,Dortmund,20,"€ 59,808 (£ 50,429, $66,943)","€ 3,110,000 (£ 2,622,327, $3,481,044)",Unverified estimation
91,Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,27,"€ 58,077 (£ 49,021, $59,867)","€ 3,020,000 (£ 2,549,110, $3,113,107)",
92,Sacha Boey,fr FRA,DF,Bayern Munich,23,"€ 57,692 (£ 48,697, $59,471)","€ 3,000,000 (£ 2,532,229, $3,092,490)",
93,Jonas Omlin,ch SUI,GK,Gladbach,30,"€ 57,692 (£ 48,697, $59,471)","€ 3,000,000 (£ 2,532,229, $3,092,490)",Unverified estimation
94,Jamie Gittens,eng ENG,"FW,MF",Dortmund,19,"€ 57,692 (£ 48,697, $59,471)","€ 3,000,000 (£ 2,532,229, $3,092,490)",
95,Adam Hložek,cz CZE,"FW,MF",Hoffenheim,22,"€ 54,423 (£ 45,937, $56,101)","€ 2,830,000 (£ 2,388,736, $2,917,249)",Unverified estimation
96,Mattias Svanberg,se SWE,MF,Wolfsburg,25,"€ 54,423 (£ 45,937, $56,101)","€ 2,830,000 (£ 2,388,736, $2,917,249)",Unverified estimation
