Player,Nation,Team,Position,Age,Season,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Martin Ødegaard,no NOR,Arsenal,MF,25,24-25,EPL,0.12,0.31,0.43,0.08,0.04,0.04,0.15,0.0,0.19,0.15,0.21,0.37,3.56,9.99,5.96,1.86,0.58,0.313,0.04,0.13,19.2,0.12,0.08,-0.07,-0.08,47.88,58.03,0.825,744.66,211.35,26.25,28.99,0.905,17.38,20.01,0.868,3.1,5.65,0.5479999999999999,0.26,2.44,5.11,3.33,0.19,53.15,4.41,1.35,0.97,0.12,3.33,0.46,1.43,1.2,0.0,0.0,0.46,0.19,4.8,3.91,0.5,0.12,0.19,0.08,0.0,0.7,0.54,0.08,0.04,0.04,0.0,0.0,0.74,0.43,0.35,0.27,0.12,0.15,0.97,0.16,0.81,0.19,0.0,0.23,0.97,0.23,0.04,65.57,0.35,4.88,27.41,33.87,4.45,65.54,2.28,0.97,0.424,1.24,0.542,45.45,288.15,146.01,3.29,1.01,1.47,1.55,51.72,0.0,0.46,0.89,0.04,0.0,0.0,0.0,3.75,0.31,0.27,0.5329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İlkay Gündoğan,de GER,Manchester City,MF,33,24-25,EPL,0.04,0.24,0.28,0.04,0.0,0.0,0.04,0.0,0.13,0.13,0.14,0.27,2.59,5.14,3.89,1.09,0.28,0.259,0.04,0.14,18.1,0.08,0.12,-0.09,-0.09,61.74,68.95,0.895,955.47,182.63,35.26,37.37,0.944,21.05,22.87,0.92,4.13,6.28,0.6579999999999999,0.18,1.78,4.37,0.93,0.08,64.37,4.37,1.34,0.28,0.12,2.43,0.16,1.86,1.26,0.16,0.04,0.2,0.61,3.56,2.71,0.45,0.2,0.16,0.04,0.0,0.53,0.4,0.04,0.0,0.04,0.04,0.0,1.01,0.53,0.2,0.61,0.2,0.4,0.97,0.417,0.57,0.61,0.0,0.53,1.54,0.93,0.0,76.6,1.82,10.93,37.61,28.91,2.71,76.6,1.66,0.69,0.415,0.65,0.39,45.26,251.38,121.46,2.31,0.45,1.17,1.01,59.92,0.0,0.61,1.09,0.04,0.04,0.0,0.0,4.7,0.57,0.45,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Foden,eng ENG,Manchester City,"MF,FW",24,24-25,EPL,0.35,0.1,0.46,0.35,0.0,0.0,0.1,0.0,0.26,0.26,0.24,0.5,2.53,5.22,6.48,2.73,0.81,0.296,0.13,0.44,18.6,0.1,0.1,0.09,0.09,40.06,47.66,0.841,627.27,132.44,23.75,26.13,0.909,12.26,13.73,0.893,3.39,5.67,0.598,0.27,2.18,2.08,1.98,0.3,43.25,4.2,1.06,0.35,0.1,4.05,0.25,2.33,1.52,0.41,0.05,0.2,0.61,4.46,2.94,0.91,0.15,0.3,0.15,0.0,0.46,0.25,0.05,0.0,0.15,0.0,0.0,0.66,0.25,0.25,0.2,0.2,0.35,0.91,0.389,0.56,0.66,0.05,0.46,1.11,0.35,0.05,57.69,0.66,4.31,19.35,34.49,4.2,57.69,2.18,0.71,0.326,1.16,0.535,36.57,188.41,90.25,1.52,0.86,1.82,1.57,45.28,0.0,0.25,1.72,0.15,0.0,0.0,0.0,3.09,0.15,0.46,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgil van Dijk,nl NED,Liverpool,DF,33,24-25,EPL,0.08,0.03,0.11,0.08,0.0,0.0,0.14,0.0,0.06,0.06,0.02,0.08,0.59,5.35,0.16,0.73,0.22,0.296,0.11,0.38,13.1,0.03,0.08,0.02,0.02,72.65,79.32,0.916,1325.32,516.49,29.73,30.89,0.962,36.03,37.76,0.954,6.19,9.22,0.672,0.03,0.32,7.84,0.19,0.0,73.19,6.05,2.32,0.03,0.59,0.03,0.22,0.0,0.0,0.0,0.0,0.08,0.3,1.3,1.11,0.0,0.03,0.08,0.03,0.05,0.11,0.11,0.0,0.0,0.0,0.0,0.0,1.03,0.54,0.46,0.51,0.05,0.35,0.59,0.591,0.24,0.73,0.43,1.51,2.54,5.14,0.11,89.22,12.16,35.62,49.38,4.49,1.3,89.22,0.14,0.08,0.6,0.05,0.4,50.16,236.59,130.97,0.65,0.08,0.27,0.14,61.65,0.0,0.46,0.35,0.0,0.0,0.0,0.0,3.11,3.22,1.24,0.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Foden,eng ENG,Manchester City,"MF,FW",24,24-25,EPL,0.35,0.1,0.46,0.35,0.0,0.0,0.1,0.0,0.26,0.26,0.24,0.5,2.53,5.22,6.48,2.73,0.81,0.296,0.13,0.44,18.6,0.1,0.1,0.09,0.09,40.06,47.66,0.841,627.27,132.44,23.75,26.13,0.909,12.26,13.73,0.893,3.39,5.67,0.598,0.27,2.18,2.08,1.98,0.3,43.25,4.2,1.06,0.35,0.1,4.05,0.25,2.33,1.52,0.41,0.05,0.2,0.61,4.46,2.94,0.91,0.15,0.3,0.15,0.0,0.46,0.25,0.05,0.0,0.15,0.0,0.0,0.66,0.25,0.25,0.2,0.2,0.35,0.91,0.389,0.56,0.66,0.05,0.46,1.11,0.35,0.05,57.69,0.66,4.31,19.35,34.49,4.2,57.69,2.18,0.71,0.326,1.16,0.535,36.57,188.41,90.25,1.52,0.86,1.82,1.57,45.28,0.0,0.25,1.72,0.15,0.0,0.0,0.0,3.09,0.15,0.46,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgil van Dijk,nl NED,Liverpool,DF,33,24-25,EPL,0.08,0.03,0.11,0.08,0.0,0.0,0.14,0.0,0.06,0.06,0.02,0.08,0.59,5.35,0.16,0.73,0.22,0.296,0.11,0.38,13.1,0.03,0.08,0.02,0.02,72.65,79.32,0.916,1325.32,516.49,29.73,30.89,0.962,36.03,37.76,0.954,6.19,9.22,0.672,0.03,0.32,7.84,0.19,0.0,73.19,6.05,2.32,0.03,0.59,0.03,0.22,0.0,0.0,0.0,0.0,0.08,0.3,1.3,1.11,0.0,0.03,0.08,0.03,0.05,0.11,0.11,0.0,0.0,0.0,0.0,0.0,1.03,0.54,0.46,0.51,0.05,0.35,0.59,0.591,0.24,0.73,0.43,1.51,2.54,5.14,0.11,89.22,12.16,35.62,49.38,4.49,1.3,89.22,0.14,0.08,0.6,0.05,0.4,50.16,236.59,130.97,0.65,0.08,0.27,0.14,61.65,0.0,0.46,0.35,0.0,0.0,0.0,0.0,3.11,3.22,1.24,0.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Partey,gh GHA,Arsenal,"MF,DF",31,24-25,EPL,0.13,0.06,0.19,0.13,0.0,0.0,0.13,0.0,0.07,0.07,0.07,0.14,1.16,5.95,1.54,0.84,0.29,0.346,0.15,0.44,19.2,0.0,0.09,0.05,0.05,53.99,61.78,0.8740000000000001,859.04,230.23,28.12,30.31,0.928,21.94,24.68,0.889,2.93,4.6,0.636,0.08,0.64,5.41,1.06,0.06,58.53,3.06,0.87,0.19,0.13,0.39,2.0,0.0,0.0,0.0,0.0,0.19,0.64,2.0,1.67,0.06,0.03,0.06,0.03,0.13,0.42,0.26,0.06,0.0,0.03,0.03,0.03,2.86,1.71,0.84,1.25,0.77,1.48,2.45,0.605,0.97,0.93,0.29,1.13,3.99,1.58,0.13,70.56,2.38,14.71,39.06,17.18,1.06,70.56,1.13,0.77,0.6859999999999999,0.29,0.257,40.41,219.51,118.77,1.35,0.1,0.77,0.55,50.23,0.0,1.45,1.0,0.03,0.0,0.0,0.0,4.44,0.9,0.87,0.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joško Gvardiol,hr CRO,Manchester City,DF,22,24-25,EPL,0.14,0.0,0.14,0.14,0.0,0.0,0.05,0.0,0.13,0.12,0.06,0.17,2.5,7.25,3.32,1.1,0.33,0.3,0.13,0.42,12.9,0.0,0.11,0.01,0.02,67.4,74.73,0.902,1095.96,295.51,32.9,34.99,0.94,30.98,33.42,0.927,2.94,4.45,0.66,0.08,0.71,6.78,0.55,0.03,68.72,5.79,1.13,0.16,0.3,0.6,4.48,0.0,0.0,0.0,0.0,0.22,0.6,2.09,1.9,0.03,0.05,0.08,0.03,0.0,0.19,0.16,0.0,0.03,0.0,0.0,0.0,1.59,1.07,0.69,0.58,0.33,0.58,1.1,0.525,0.52,1.15,0.55,1.21,2.8,3.35,0.22,85.22,4.01,20.98,42.54,22.38,2.69,85.22,1.18,0.69,0.581,0.38,0.326,54.85,290.41,164.84,2.8,0.41,0.8,0.44,61.99,0.0,0.44,0.74,0.08,0.0,0.0,0.0,3.76,1.48,1.13,0.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Fofana,fr FRA,Chelsea,DF,23,24-25,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.03,0.03,0.03,0.06,1.46,2.46,0.31,0.23,0.0,0.0,0.0,,10.6,0.0,0.13,-0.03,-0.03,55.6,61.66,0.902,941.62,262.24,23.5,25.03,0.939,29.56,31.95,0.925,2.0,3.23,0.619,0.02,0.46,4.15,0.08,0.0,58.21,3.38,1.77,0.0,0.0,0.08,1.54,0.0,0.0,0.0,0.0,0.08,0.38,1.15,0.92,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.92,0.46,0.54,0.0,0.46,1.08,0.429,0.61,1.08,0.69,1.08,2.07,4.22,0.15,71.65,6.22,28.41,40.16,4.22,0.77,71.65,1.15,0.61,0.5329999999999999,0.23,0.2,42.77,241.82,123.94,0.92,0.08,1.23,0.38,51.07,0.0,1.84,1.23,0.0,0.0,0.0,0.0,4.15,2.07,0.92,0.6920000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bukayo Saka,eng ENG,Arsenal,"FW,MF",22,24-25,EPL,0.31,0.52,0.83,0.26,0.05,0.05,0.16,0.0,0.35,0.31,0.4,0.71,5.0,3.64,13.27,3.44,1.15,0.3329999999999999,0.08,0.23,15.6,0.05,0.09,-0.04,-0.05,28.73,38.05,0.755,437.66,129.46,17.39,19.31,0.9,8.02,11.14,0.72,2.34,4.79,0.489,0.41,3.02,0.78,1.98,0.62,33.52,4.32,0.36,0.21,0.1,6.09,0.62,3.33,2.92,0.0,0.1,0.21,1.15,6.09,3.7,1.04,0.62,0.52,0.21,0.0,1.2,0.73,0.26,0.1,0.05,0.05,0.0,1.51,0.78,0.47,0.57,0.47,0.68,1.25,0.542,0.57,1.15,0.0,0.16,1.67,0.42,0.0,50.96,0.31,2.97,11.24,37.22,8.43,50.91,4.68,2.13,0.456,1.93,0.411,32.69,221.38,128.05,1.67,2.65,1.77,2.08,37.01,0.0,0.78,2.03,0.36,0.05,0.0,0.0,3.64,0.52,1.04,0.3329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthijs de Ligt,nl NED,Manchester Utd,DF,24,24-25,EPL,0.08,0.0,0.08,0.08,0.0,0.0,0.13,0.0,0.11,0.11,0.01,0.12,0.3,2.33,0.25,0.76,0.38,0.5,0.11,0.22,7.9,0.0,0.14,-0.02,-0.02,52.61,58.5,0.899,924.59,252.45,19.25,20.43,0.942,30.86,32.68,0.944,2.25,4.58,0.491,0.01,0.25,2.67,0.08,0.04,57.23,1.14,0.81,0.0,0.38,0.25,0.04,0.0,0.0,0.0,0.0,0.13,0.34,0.59,0.51,0.0,0.0,0.08,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.27,0.93,0.72,0.51,0.04,0.98,1.36,0.7190000000000001,0.38,1.23,0.89,1.4,2.67,4.07,0.0,68.17,7.8,35.1,30.99,2.37,1.23,68.17,0.17,0.08,0.5,0.08,0.5,45.7,201.11,94.32,0.13,0.0,0.21,0.13,49.09,0.0,0.68,0.51,0.08,0.0,0.08,0.0,2.88,2.46,1.23,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Nkunku,fr FRA,Chelsea,FW,26,24-25,EPL,0.29,0.2,0.49,0.29,0.0,0.0,0.2,0.0,0.47,0.47,0.21,0.67,1.66,2.44,6.65,2.44,1.07,0.44,0.12,0.27,12.6,0.0,0.19,-0.18,-0.18,29.22,32.64,0.895,383.84,74.27,18.08,19.74,0.916,9.28,10.07,0.922,0.59,0.59,1.0,0.1,1.37,2.54,0.68,0.0,31.95,0.68,0.1,0.2,0.1,0.39,0.0,0.2,0.0,0.0,0.0,0.0,0.68,3.32,2.05,0.0,0.49,0.49,0.1,0.2,0.39,0.1,0.0,0.1,0.1,0.1,0.0,1.17,0.78,0.29,0.39,0.49,0.59,0.78,0.75,0.2,0.88,0.2,0.68,1.86,0.98,0.0,43.78,0.98,5.08,17.88,21.21,5.08,43.78,2.64,0.98,0.37,1.37,0.519,27.36,133.68,61.37,1.56,1.27,1.76,1.66,34.79,0.0,1.56,1.07,0.29,0.0,0.0,0.0,2.83,1.56,2.15,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Saliba,fr FRA,Arsenal,DF,23,24-25,EPL,0.06,0.0,0.06,0.06,0.0,0.0,0.06,0.03,0.07,0.07,0.03,0.09,0.47,4.09,0.18,0.18,0.06,0.3329999999999999,0.33,1.0,5.4,0.0,0.38,-0.01,-0.01,71.46,75.78,0.943,1227.78,371.37,30.39,31.72,0.958,37.17,38.68,0.961,3.64,4.56,0.799,0.04,0.21,5.33,0.18,0.0,74.27,1.36,1.07,0.03,0.3,0.09,0.12,0.0,0.0,0.0,0.0,0.15,0.3,0.8,0.74,0.0,0.0,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.84,1.1,1.1,0.68,0.06,0.62,0.83,0.75,0.21,0.74,0.44,0.62,2.46,3.52,0.21,83.63,5.63,33.38,46.53,4.21,0.53,83.63,0.56,0.36,0.632,0.18,0.316,52.0,225.84,123.02,0.5,0.03,0.56,0.24,63.29,0.0,0.83,0.5,0.03,0.0,0.03,0.0,4.56,1.81,1.07,0.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Maguire,eng ENG,Manchester Utd,DF,31,24-25,EPL,0.05,0.0,0.05,0.05,0.0,0.0,0.36,0.0,0.09,0.09,0.03,0.12,0.36,2.61,0.36,0.77,0.31,0.4,0.07,0.17,8.2,0.0,0.12,-0.04,-0.04,49.4,57.75,0.855,919.71,319.25,18.12,20.07,0.903,26.47,29.08,0.91,4.1,7.12,0.5760000000000001,0.02,0.46,2.46,0.2,0.0,55.44,2.1,1.33,0.0,0.46,0.2,0.05,0.0,0.0,0.0,0.0,0.2,0.15,1.02,0.72,0.05,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.77,1.18,0.31,0.05,0.87,1.18,0.7390000000000001,0.31,0.77,0.61,2.05,3.58,3.99,0.05,67.99,7.53,33.38,31.54,3.89,2.25,67.99,0.26,0.1,0.4,0.15,0.6,40.03,246.81,105.26,0.46,0.15,0.51,0.1,43.82,0.0,0.92,0.56,0.1,0.0,0.0,0.0,3.48,3.28,1.28,0.7190000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son Heung-min,kr KOR,Tottenham,FW,32,24-25,EPL,0.3,0.38,0.68,0.26,0.04,0.09,0.04,0.0,0.31,0.24,0.35,0.59,4.09,4.73,11.3,2.35,1.02,0.436,0.11,0.25,17.0,0.04,0.1,-0.01,0.02,31.14,39.46,0.789,440.74,122.25,19.07,21.24,0.898,8.79,10.88,0.8079999999999999,1.66,3.5,0.476,0.22,2.13,1.75,2.18,0.26,36.38,2.99,0.64,0.17,0.21,3.37,0.51,1.62,1.07,0.21,0.0,0.09,0.47,4.99,3.71,0.34,0.43,0.3,0.21,0.0,0.64,0.55,0.0,0.0,0.04,0.04,0.0,0.73,0.38,0.13,0.34,0.26,0.21,1.15,0.185,0.94,0.47,0.0,0.21,0.94,0.73,0.04,48.37,0.68,4.91,15.44,28.49,5.2,48.28,3.54,1.24,0.349,1.75,0.494,32.46,209.56,111.46,2.09,1.88,1.07,1.36,36.98,0.0,0.26,1.19,0.51,0.04,0.0,0.0,3.63,0.26,0.51,0.3329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Martinelli,br BRA,Arsenal,"FW,MF",23,24-25,EPL,0.31,0.16,0.47,0.31,0.0,0.0,0.04,0.0,0.29,0.29,0.2,0.49,4.87,2.04,11.36,2.16,0.94,0.436,0.15,0.33,12.9,0.0,0.14,0.02,0.02,19.61,27.47,0.7140000000000001,279.55,60.29,12.73,15.13,0.8420000000000001,5.31,7.59,0.6990000000000001,1.02,2.04,0.5,0.18,1.57,0.43,1.45,0.59,26.69,0.59,0.0,0.2,0.08,3.62,0.47,0.12,0.12,0.0,0.0,0.2,0.59,2.91,2.16,0.04,0.31,0.28,0.12,0.0,0.28,0.16,0.0,0.04,0.04,0.04,0.0,0.9,0.59,0.35,0.24,0.31,0.28,0.9,0.304,0.63,0.59,0.0,0.2,1.1,0.75,0.0,39.07,0.67,4.01,9.71,25.94,7.15,39.07,4.28,1.3,0.303,2.36,0.55,26.33,195.92,102.97,1.3,2.52,1.97,1.49,29.55,0.0,0.63,0.83,0.31,0.0,0.0,0.0,3.07,0.67,1.53,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,eng ENG,Liverpool,DF,25,24-25,EPL,0.11,0.23,0.34,0.11,0.0,0.0,0.19,0.0,0.07,0.07,0.28,0.35,1.94,8.83,3.58,1.71,0.3,0.178,0.07,0.38,23.6,0.11,0.04,0.04,0.04,55.1,75.01,0.735,1061.77,432.42,24.05,26.79,0.898,22.41,29.34,0.764,7.73,15.91,0.486,0.28,1.98,7.88,2.47,0.76,62.83,11.8,2.4,0.46,1.22,5.82,7.31,2.09,1.29,0.46,0.04,0.38,0.65,3.73,2.82,0.57,0.19,0.15,0.0,0.0,0.38,0.34,0.04,0.0,0.0,0.0,0.0,2.74,1.9,1.67,0.72,0.34,1.86,4.0,0.467,2.13,0.99,0.34,1.18,3.92,2.09,0.15,85.7,3.35,22.57,38.55,25.12,1.67,85.7,1.41,0.65,0.4589999999999999,0.65,0.4589999999999999,45.02,203.71,108.84,1.37,0.34,0.72,0.57,54.65,0.0,0.42,0.34,0.04,0.0,0.0,0.0,5.02,0.11,0.49,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Akanji,ch SUI,Manchester City,DF,29,24-25,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.07,0.07,0.02,0.08,2.06,7.06,0.31,0.67,0.09,0.133,0.0,0.0,14.7,0.0,0.1,-0.07,-0.07,72.93,77.93,0.936,1208.61,338.64,34.68,36.29,0.956,33.83,35.53,0.952,3.75,5.05,0.743,0.06,0.4,7.91,0.49,0.09,76.28,1.61,0.8,0.18,0.45,0.49,0.45,0.0,0.0,0.0,0.0,0.04,0.13,1.65,1.65,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.85,0.54,0.54,0.18,0.13,0.49,0.76,0.647,0.27,0.49,0.36,0.4,1.25,2.86,0.13,84.06,5.32,24.98,41.11,18.1,0.85,84.06,0.09,0.09,1.0,0.0,0.0,56.04,310.71,189.21,2.86,0.0,0.22,0.22,66.27,0.0,0.76,0.4,0.0,0.0,0.0,0.0,4.6,1.34,1.47,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rúben Dias,pt POR,Manchester City,DF,27,24-25,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.06,0.06,0.01,0.07,1.7,6.34,0.32,0.83,0.28,0.3329999999999999,0.0,0.0,19.4,0.0,0.07,-0.06,-0.06,85.88,91.82,0.935,1491.84,481.23,35.67,36.82,0.969,44.31,45.93,0.965,4.76,7.01,0.6779999999999999,0.05,0.2,8.8,0.48,0.0,88.53,3.17,1.7,0.0,0.4,0.12,0.08,0.0,0.0,0.0,0.0,0.12,0.12,1.03,0.67,0.0,0.0,0.28,0.0,0.08,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.67,0.44,0.28,0.36,0.04,0.28,0.52,0.5379999999999999,0.24,0.91,0.79,0.79,1.47,2.81,0.16,99.04,8.56,33.17,53.94,12.17,1.03,99.04,0.12,0.08,0.667,0.04,0.3329999999999999,70.34,401.18,238.45,2.58,0.04,0.32,0.04,79.89,0.0,0.48,0.32,0.0,0.0,0.04,0.04,3.09,1.47,1.35,0.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Fernández,ar ARG,Chelsea,MF,23,24-25,EPL,0.18,0.21,0.4,0.18,0.0,0.0,0.24,0.0,0.19,0.19,0.21,0.39,1.83,6.47,3.85,1.62,0.61,0.377,0.11,0.3,18.1,0.06,0.11,0.0,0.0,46.36,58.03,0.799,817.73,229.41,21.38,24.1,0.887,19.12,22.51,0.8490000000000001,4.79,8.34,0.575,0.19,2.35,5.1,1.25,0.21,53.66,4.09,1.62,0.43,0.79,3.33,0.12,2.26,1.34,0.37,0.03,0.27,1.1,4.49,3.54,0.49,0.06,0.12,0.12,0.15,0.49,0.4,0.06,0.0,0.03,0.0,0.0,1.99,1.01,0.52,0.92,0.55,0.95,2.57,0.369,1.62,1.31,0.21,0.4,2.38,0.7,0.12,67.49,1.13,10.57,34.48,22.94,2.47,67.49,1.68,0.79,0.473,0.64,0.382,36.98,172.61,83.53,1.68,0.27,0.89,0.86,49.54,0.0,1.59,1.65,0.06,0.0,0.0,0.0,4.76,0.43,0.89,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,eng ENG,Manchester City,DF,34,24-25,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.01,0.01,0.04,0.06,1.11,5.94,1.02,0.46,0.19,0.4,0.0,0.0,27.7,0.0,0.03,-0.01,-0.01,67.18,76.64,0.877,1106.72,363.53,34.05,36.0,0.946,28.3,30.99,0.913,3.9,7.61,0.512,0.12,0.65,5.85,0.65,0.37,67.45,9.19,1.67,0.19,0.65,1.3,7.52,0.0,0.0,0.0,0.0,0.0,0.84,1.58,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.93,0.65,0.65,0.28,1.3,2.41,0.5379999999999999,1.11,1.21,0.37,0.28,1.86,1.21,0.09,82.76,2.41,18.28,43.89,21.15,0.46,82.76,0.56,0.28,0.5,0.19,0.3329999999999999,46.3,211.92,102.62,1.21,0.0,0.84,0.19,58.45,0.0,0.56,0.46,0.09,0.0,0.0,0.0,4.27,0.84,0.65,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Cucurella,es ESP,Chelsea,DF,26,24-25,EPL,0.15,0.03,0.18,0.15,0.0,0.0,0.3,0.03,0.08,0.08,0.06,0.15,1.05,3.55,3.52,0.72,0.33,0.4579999999999999,0.21,0.45,16.1,0.0,0.12,0.07,0.07,50.6,57.71,0.877,796.69,228.86,25.33,26.96,0.94,22.2,24.82,0.894,2.08,3.7,0.561,0.07,0.57,3.64,0.36,0.09,49.22,8.28,0.84,0.06,0.03,0.93,7.38,0.06,0.0,0.0,0.0,0.21,0.99,1.54,1.33,0.12,0.0,0.06,0.03,0.0,0.15,0.12,0.03,0.0,0.0,0.0,0.0,2.02,1.36,0.93,0.93,0.15,0.96,1.84,0.525,0.87,1.48,0.48,0.84,2.86,2.86,0.09,67.59,3.58,20.39,31.48,16.02,2.26,67.59,0.45,0.12,0.267,0.27,0.6,28.43,121.3,70.36,0.66,0.06,0.84,0.21,41.72,0.03,1.11,1.14,0.09,0.0,0.0,0.0,3.92,0.96,1.72,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
