Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
370,Maxime Dupé,fr FRA,GK,Nice,31,"€ 8,077 (£ 6,818, $8,326)","€ 420,000 (£ 354,512, $432,949)",Unverified estimation
371,Arouna Sangante,sn SEN,DF,Le Havre,22,"€ 8,077 (£ 6,818, $8,326)","€ 420,000 (£ 354,512, $432,949)",Unverified estimation
372,Farid El Melali,dz ALG,FW,Angers,27,"€ 8,077 (£ 6,818, $8,326)","€ 420,000 (£ 354,512, $432,949)",Unverified estimation
373,Ibrahim Sissoko,ml MLI,FW,Saint-Étienne,28,"€ 8,077 (£ 6,818, $8,326)","€ 420,000 (£ 354,512, $432,949)",Unverified estimation
374,Léo Pétrot,fr FRA,DF,Saint-Étienne,27,"€ 8,077 (£ 6,818, $8,326)","€ 420,000 (£ 354,512, $432,949)",Unverified estimation
375,Amine Salama,fr FRA,FW,Reims,24,"€ 7,885 (£ 6,655, $8,128)","€ 410,000 (£ 346,071, $422,640)",Unverified estimation
376,Issiaga Sylla,gn GUI,DF,Montpellier,30,"€ 7,692 (£ 6,493, $7,929)","€ 400,000 (£ 337,631, $412,332)",Unverified estimation
377,Yann Gboho,fr FRA,"MF,FW",Toulouse,23,"€ 7,692 (£ 6,493, $7,929)","€ 400,000 (£ 337,631, $412,332)",Unverified estimation
378,Loïc Nego,hu HUN,"DF,FW",Le Havre,33,"€ 7,692 (£ 6,493, $7,929)","€ 400,000 (£ 337,631, $412,332)",Unverified estimation
379,Mahamadou Diawara,,CM,Le Havre,19,"€ 7,692 (£ 6,486, $8,610)","€ 400,000 (£ 337,277, $447,723)",Unverified estimation
380,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,21,"€ 7,692 (£ 6,493, $7,929)","€ 400,000 (£ 337,631, $412,332)",Unverified estimation
381,Gabriel Gudmundsson,se SWE,DF,Lille,25,"€ 7,692 (£ 6,493, $7,929)","€ 400,000 (£ 337,631, $412,332)",Unverified estimation
